dataset_num,cluster_first/scenario3,match_first/scenario3,ca_ilp/scenario3,ca_mis/scenario3
1,4.860000,16.480000,345.727417,64.238417
2,4.200000,13.680000,296.518834,40.101375
3,5.790000,10.960000,230.273500,48.069958
4,4.530000,11.010000,129.498000,73.401959
5,4.780000,10.750000,160.390000,41.209458
6,5.750000,9.520000,296.843875,61.309834
7,5.630000,10.650000,219.392375,38.727208
8,5.720000,9.520000,200.802583,53.341500
9,6.170000,10.350000,273.066625,47.777875
10,10.610000,9.930000,168.811542,44.672166
11,6.850000,10.460000,303.101666,56.923333
12,4.730000,10.940000,286.394750,39.921500
13,2.630000,10.250000,329.888709,42.712250
14,9.240000,10.550000,260.031250,53.548875
15,6.360000,11.360000,263.392667,32.118458
16,4.460000,10.330000,228.475500,31.821750
17,2.210000,9.050000,233.609583,37.211333
18,3.420000,8.630000,200.625583,33.493667
19,3.610000,9.690000,176.173958,43.725250
20,7.300000,9.460000,204.633250,44.357708
21,7.490000,10.290000,219.182417,44.548625
22,5.320000,10.770000,126.738375,43.410292
23,8.110000,10.490000,202.060792,31.704750
24,5.680000,9.310000,159.087958,30.189709
25,4.040000,8.530000,378.541375,47.420459
26,2.050000,10.950000,154.770750,44.306125
27,7.610000,11.470000,267.695000,52.935209
28,5.430000,9.110000,416.878417,33.934208
29,2.800000,9.110000,358.749916,41.070542
30,8.100000,7.770000,304.181292,55.150333
31,7.710000,9.740000,235.265167,36.697208
32,5.470000,8.420000,192.572042,31.958750
33,9.280000,9.250000,235.350208,30.244125
34,6.480000,10.130000,199.883958,44.806125
35,4.140000,8.250000,237.054167,31.146750
36,6.330000,10.250000,301.670583,29.642958
37,6.070000,8.940000,215.174084,43.058709
38,5.440000,10.770000,170.508792,54.916250
39,2.190000,11.180000,265.481042,33.869375
40,6.680000,10.120000,217.868625,37.391291
41,6.010000,9.630000,265.588667,48.916625
42,4.280000,8.510000,295.009292,29.885125
43,2.480000,8.830000,234.870083,36.737458
44,2.080000,9.240000,241.834667,55.620333
45,2.540000,10.790000,197.309292,29.360709
46,2.130000,9.640000,278.641000,67.777542
47,2.820000,8.630000,293.029292,29.550458
48,2.770000,9.840000,331.436708,30.180792
49,2.880000,9.210000,272.667292,51.661584
50,2.990000,9.770000,258.773041,38.955667
51,2.880000,11.060000,305.447583,30.653500
52,3.210000,9.440000,311.265458,37.495875
53,4.160000,11.580000,229.142875,42.986125
54,3.630000,9.580000,193.427750,30.709875
55,5.990000,9.290000,233.427834,32.657833
56,2.400000,9.970000,215.413833,42.833125
57,4.660000,7.250000,152.232084,43.954583
58,5.450000,8.360000,281.178542,42.425208
59,2.340000,9.220000,174.486208,36.395208
60,6.290000,9.310000,297.302333,32.406708
61,4.200000,9.490000,423.839375,43.493875
62,5.900000,9.910000,285.791166,31.895250
63,3.520000,10.200000,207.520209,50.991458
64,5.780000,9.050000,226.815875,29.909542
65,4.380000,9.720000,240.441458,52.374042
66,2.250000,9.120000,445.293667,49.287041
67,2.450000,9.630000,314.219500,40.569542
68,2.630000,9.290000,226.355292,49.675000
69,2.760000,7.970000,292.155416,51.619125
70,3.130000,10.720000,199.557458,31.748291
71,2.430000,8.830000,216.268417,29.482250
72,2.510000,7.680000,277.654166,31.446333
73,3.670000,10.440000,106.896958,35.536541
74,3.380000,8.700000,236.508209,63.364042
75,2.200000,9.680000,186.457583,36.549750
76,2.530000,9.710000,201.713291,31.586709
77,2.890000,8.470000,238.798166,52.337083
78,2.580000,10.270000,325.962584,30.199833
79,2.930000,11.230000,275.676958,31.864583
80,2.090000,11.320000,147.325083,29.630166
81,2.360000,9.610000,209.137583,29.905625
82,4.100000,9.320000,229.268000,62.885250
83,4.670000,10.270000,352.636667,43.262625
84,3.600000,9.510000,251.776625,31.288292
85,3.980000,10.830000,299.445375,40.566250
86,6.050000,8.800000,230.505500,50.452917
87,5.310000,10.300000,260.832375,30.654250
88,3.790000,11.240000,228.045500,52.487000
89,2.430000,10.880000,242.350667,39.922959
90,1.990000,9.460000,148.692250,31.446875
91,3.730000,10.870000,268.925667,30.461542
92,2.780000,24.890000,223.325500,33.403625
93,2.440000,15.290000,228.253709,29.587792
94,5.460000,13.830000,421.172458,32.460125
95,4.950000,12.210000,194.715875,30.214583
96,2.660000,10.640000,278.891625,39.947208
97,5.190000,11.290000,206.720208,33.294167
98,4.060000,10.930000,208.139708,30.943291
99,4.420000,9.780000,147.551792,31.968500
100,3.970000,11.460000,275.346625,29.892500
